-6655.942000  0.000000  -0.000000
-6257.486505  -1991.970193  1081.484437
-5109.775898  -3745.420698  2033.085861
-3350.084887  -5050.274658  2740.458321
-1188.967157  -5749.916312  3118.447928
1114.710072  -5759.875216  3121.281831
3284.445223  -5078.086370  2748.145123
5059.067621  -3785.540007  2043.498641
6224.278012  -2037.060148  1091.999094
6638.969952  -42.986428  8.451607
6638.969952  -42.986428  8.451607
6638.525039  72.224075  -53.798273
6635.520385  190.717603  -117.178928
6629.884207  312.708354  -181.738872
6621.535989  438.451603  -247.536838
6610.384036  568.255399  -314.644600
6596.322015  702.497015  -383.150904
6579.223872  841.646819  -453.167092
6558.936122  986.304271  -524.835448
6535.265596  1137.254861  -598.342199
6535.265596  1137.254861  -598.342199
-6380.876824  13277.561351  -6367.556816
-17082.343220  15790.211170  -7499.182066
-25675.320489  16211.904832  -7636.329227
-32788.761232  15669.527067  -7318.935862
-38770.565844  14576.406759  -6744.114057
-43833.088588  13133.335063  -6007.277141
-48115.708483  11454.356869  -5162.470332
-51714.876503  9611.394737  -4243.710228
-54699.825273  7653.483090  -3274.160915
-54699.825273  7653.483090  -3274.160915
-54707.221601  7647.842586  -3271.777432
-54715.086066  7641.576013  -3269.950528
-54723.435799  7634.702675  -3268.784200
-54732.289656  7627.251481  -3268.389704
-54741.668674  7619.262621  -3268.886644
-54751.596664  7610.789831  -3270.404345
-54762.101003  7601.903481  -3273.083600
-54773.213714  7592.694866  -3277.078912
-41844.426930  5184.142537  0.000000
