0	1	-1	
0.00755838	1	-1	
0.0252913	1	-1	
0.0530299	1	-1	
0.0905966	1	-1	
0.137754	1	-1	
0.194203	1	-1	
0.259587	1	-1	
0.333493	1	-0.367786	
0.415453	1	0.340404	
0.504949	1	1	
0.601416	1	1	
0.704244	1	1	
0.812782	1	1	
0.926344	1	1	
1.04421	1	1	
1.16564	1	1	
1.28986	1	1	
1.41609	1	1	
1.54353	0.565227	1	
1.67138	-0.574693	1	
1.79882	-1	1	
1.92505	-1	1	
2.04927	-1	1	
2.1707	-1	1	
2.28857	-1	-0.218325	
2.40213	-1	-0.98626	
2.51067	-1	-1	
2.6135	-1	-1	
2.70996	-1	-1	
2.79946	-1	-1	
2.88142	-1	-1	
2.95533	-1	-1	
3.02071	-1	-1	
3.07716	-1	-1	
3.12432	-1	-1	
3.16188	-1	-1	
3.18962	-1	-1	
3.20736	-0.904564	-1	
3.21491	-1	-1	
